experiment_id,strategy,family,timeframe,universe,trades,trades_per_day,profit_pct,pf,max_dd_pct,status,recommendation_code,robustness_score,robustness_flags
20260220T110343Z_strat03rsibbmeanreversion-v3c_1h_top10,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10,22,0.06,0.07948262199999996,1.1873360457101463,0.3395007950000035,success,INCREASE_SAMPLE_SIZE,70.0,"PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T111132Z_strat03rsibbmeanreversion-v3c_1h_top10,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10,22,0.06,0.07948262199999996,1.1873360457101463,0.3395007950000035,success,INCREASE_SAMPLE_SIZE,70.0,"PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T113326Z_strat03rsibbmeanreversion-v3c_1h_top20,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top20,43,0.11,0.15611712600000002,1.2164235838181934,0.21763206221214987,success,MORE_WALKFORWARD,100.0,
20260220T115817Z_strat06volcompressionbreakout-v1_1h_top10,Strat06VolCompressionBreakout_v1,volatility_breakout,1h,top10,213,0.54,-2.012635378,0.6089783919773005,2.1735815674820858,success,DISCARD_OR_REDESIGN,66.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK"
20260220T115817Z_strat07donchianpullbacktrend-v1_1h_top10,Strat07DonchianPullbackTrend_v1,trend,1h,top10,249,0.63,-3.182147101,0.5187590137982752,3.2642370755931434,success,DISCARD_OR_REDESIGN,90.0,PAIR_DEPENDENCY_RISK
20260220T120453Z_strat16dailyregimehourlypullback-v1_1h_top10,Strat16DailyRegimeHourlyPullback_v1,multi_timeframe,1h,top10,814,2.06,-5.917034426,0.6353822838343364,5.964355832000001,success,DISCARD_OR_REDESIGN,90.0,PAIR_DEPENDENCY_RISK
20260220T121013Z_strat03rsibbmeanreversion-v3c_30m_top10,Strat03RSIBBMeanReversion_v3c,mean_reversion,30m,top10,48,0.12,-0.649737781,0.1682442797393629,0.6650744450000048,success,INCREASE_SAMPLE_SIZE,90.0,PAIR_DEPENDENCY_RISK
20260220T123024Z_strat17htftrendltfreversion-v1_1h_top10,Strat17HTFTrendLTFReversion_v1,mtf_regime,1h,top10,809,2.04,-6.865219531999999,0.530081391044602,6.904643583000006,success,DISCARD_OR_REDESIGN,66.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK"
20260220T124508Z_strat18rsibbregimereclaim-v1_1h_top10,Strat18RSIBBRegimeReclaim_v1,mean_reversion,1h,top10,0,0.0,0.0,,0.0,partial,RERUN_OR_DEBUG,72.0,"MISSING_PAIR_BREAKDOWN,LOW_SAMPLE"
20260220T124521Z_strat18rsibbregimereclaim-v1_1h_top10,Strat18RSIBBRegimeReclaim_v1,mean_reversion,1h,top10,184,0.46,-1.16084009,0.602440506456234,1.2815160971160988,success,DISCARD_OR_REDESIGN,66.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK"
20260220T143206Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10_mr1h,19,0.05,0.068273134,1.3254984288306109,0.17522529200000464,success,INCREASE_SAMPLE_SIZE,46.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T143206Z_strat03rsibbmeanreversion-v3c_1h_top10-universal,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10_universal,27,0.07,0.048288500000000005,1.1180715294703052,0.32419914099999686,success,INCREASE_SAMPLE_SIZE,58.0,"TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T143206Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top20_mr1h,34,0.09,0.16035472100000003,1.2988653892307762,0.3148338930000023,success,MORE_WALKFORWARD,100.0,
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h-effective-wf-a,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10_mr1h_effective_WF_A,5,0.04,0.134363751,3.949693628775965,0.045551765000004706,success,INCREASE_SAMPLE_SIZE,46.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h-effective-wf-b,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10_mr1h_effective_WF_B,3,0.02,0.123516844,0.0,0.0,success,INCREASE_SAMPLE_SIZE,46.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-a,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top20_mr1h_effective_WF_A,8,0.07,0.084542069,1.5448070819217712,0.08340514870044786,success,INCREASE_SAMPLE_SIZE,46.0,"TOO_CONCENTRATED_TOP1,TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-b,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top20_mr1h_effective_WF_B,8,0.07,0.11142269799999999,1.851248766294073,0.08346722700000554,success,INCREASE_SAMPLE_SIZE,58.0,"TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T144656Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-c,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top20_mr1h_effective_WF_C,4,0.04,0.238996631,0.0,0.0,success,INCREASE_SAMPLE_SIZE,58.0,"TOO_CONCENTRATED_TOP3,PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
20260220T144657Z_strat03rsibbmeanreversion-v3c_1h_top10-mr1h-effective-wf-c,Strat03RSIBBMeanReversion_v3c,mean_reversion,1h,top10_mr1h_effective_WF_C,0,0.0,0.0,0.0,0.0,success,INCREASE_SAMPLE_SIZE,70.0,"PAIR_DEPENDENCY_RISK,LOW_SAMPLE"
